id;image;image_content_type;set_up_date
1;../fake-data/blob/hipster.png;image/png;2019-12-22T09:40:47
2;../fake-data/blob/hipster.png;image/png;2019-12-22T08:49:12
3;../fake-data/blob/hipster.png;image/png;2019-12-21T10:53:47
4;../fake-data/blob/hipster.png;image/png;2019-12-21T16:50:46
5;../fake-data/blob/hipster.png;image/png;2019-12-21T14:11:44
6;../fake-data/blob/hipster.png;image/png;2019-12-21T11:38:56
7;../fake-data/blob/hipster.png;image/png;2019-12-22T05:04:40
8;../fake-data/blob/hipster.png;image/png;2019-12-22T10:09:19
9;../fake-data/blob/hipster.png;image/png;2019-12-22T05:48:36
10;../fake-data/blob/hipster.png;image/png;2019-12-21T10:21:40
